Name,Degree,DP Score,NPV Value,Location,City,Consult Fee,Years of Experience,Speciality
Dr. Shah Dupesh,MBBS,89%,(73 patients),T Nagar,Chennai,₹500,12,TherapistSexologist
Dr. S. Gopinath,"M.D. (Psychiatry), MBBS",100%,(56 patients),Madipakkam,Chennai,₹1000,10,"Psychiatrist, Neuropsychiatrist, Addiction Psychiatrist"
Dr. M.R. Girinath,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery",,,Greams Road,Chennai,₹1000,54,Cardiothoracic Surgeon
Dr. Ramya Shri,"MBBS, MD - Pediatrics, DM - Cardiology",,,Anna Nagar,Chennai,₹1200,21,"Pediatrician, Cardiologist"
Dr. Rajendran B,"MBBS, MD - Radiotherapy, DNB - Radiotherapy",,,Teynampet,Chennai,₹800,33,Radiation Oncologist
Dr. Chitra,"MBBS, Diploma in Child Health (DCH), Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh)",,,Thousand Lights,Chennai,₹1000,25,Pediatrician
Dr. N.Mani Sundar,"BDS, MDS - Periodontics",,,Kilkattalai,Chennai,₹200,16,"Dental Surgeon, Implantologist, Periodontist"
Dr. Raniya Sulthana,BAMS,100%,(67 patients),Mogappair West,Chennai,₹750,15,AYUSHAyurveda
Dr. K. Sajan Hegde,"MBBS, MS - Orthopaedics",,,Greams Road,Chennai,₹1500,43,Orthopedic surgeon
Dr. Diana Ashok,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",,,Velachery,Chennai,₹500,t6,"Dentist, Orthodontist"
Dr. Mahesh Sundaram,"MBBS, DNB - General Surgery, DNB - Surgical Gastroenterology",97%,(182 patients),Madipakkam,Chennai,₹500,25,"GastroIntestinal Surgeon, Laparoscopic Surgeon, General Surgeon, Gastroenterologist"
Dr. Vivek Pandian,"BDS, MDS - Oral & Maxillofacial Surgery",98%,(444 patients),Chromepet,Chennai,₹500,11,"Dentist, Implantologist, Dental Surgeon, Cosmetic/Aesthetic Dentist, Oral And MaxilloFacial Surgeon"
Dr. Roby Bose,"MBBS, Masters in Clinical Dermatology",,,T Nagar,Chennai,₹1000,17,Hair Transplant Surgeon
Dr. Chandran Abraham,MBBS,,,Kilpauk,Chennai,₹800,n8,General Physician
Dr. Ashok Rangarajan,"MBBS, MS - Ophthalmology, DNB - Ophthalmology",95%,(195 patients),Alwarpet,Chennai,₹700,32,Ophthalmologist/ Eye Surgeon
Dr. R. Premkumar,"MBBS, MS - General Surgery",,,Kilpauk,Chennai,₹800,30,"General Surgeon, Laparoscopic Surgeon"
Dr. Roshan Rayen,"BDS, MDS - Paedodontics And Preventive Dentistry",98%,(620 patients),Nungambakkam,Chennai,₹500,23,"Pediatric Dentist, Cosmetic/Aesthetic Dentist, Dentist"
Dr. Kalaivanan Kanniyan,"MBBS, MS - Orthopaedics",,,Vadapalani,Chennai,₹800,18,"Joint Replacement Surgeon, Spine And Pain Specialist"
Dr. Akila Mani,"MBBS, MRCP (UK), Diploma in Child Health (DCH)",94%,(66 patients),Vanagaram,Chennai,₹800,22,"General Physician, Pediatrician"
Dr. Shashibushan,MBBS,,,MRC Nagar,Chennai,₹800,46,General Physician
Dr. Nithya J,"MBBS, DGO, DNB - Obstetrics & Gynecology",,,OMR Road,Chennai,₹700,15,Gynecologist
Dr. Mahesh,"MBBS, MD - Pediatrics, DM - Neurology",,,Thousand Lights,Chennai,₹1500,14,Neurologist
Dr. E Ravindra Mohan,"MBBS, MD - Ophthalmology",,,Anna Nagar,Chennai,₹1200,34,Ophthalmologist/ Eye Surgeon
Dr. Brindha Devi R,BDS,,,Selaiyur,Chennai,₹100,t8,Dentist
,,,,,,,,
Dr. Ambika K R,BAMS,88%,(16 patients),ECR Road,Chennai,₹200,19,AYUSHAyurveda
Dr. Kanchana Subramani   (Physiotherapist),BPTh/BPT,,,T Nagar,Chennai,₹600,t9,TherapistPhysiotherapist
Dr. Manisha.M,"MBBS, MS - ENT",100%,(30 patients),Kolathur,Chennai,₹300,t6,ENT/ Otorhinolaryngologist
Dr. Aparna Vishwakiran,"MBBS, DNB - Obstetrics & Gynecology, Post Doctoral Fellowship in Reproductive Medicine",100%,(18 patients),Anna Nagar,Chennai,₹700,20,Infertility Specialist
Dr. Sathish Manivel,"MBBS, DNB - General Surgery, MCh - Plastic Surgery",,,Kilpauk,Chennai,₹750,22,"Plastic Surgeon, Plastic Reconstruction Surgeon, General Physician"
Dr. Karthikha,"MBBS, DGO, DNB - Obstetrics & Gynecology",100%,(21 patients),T Nagar,Chennai,₹700,11,"Gynecologist, Laparoscopic Surgeon (Obs & Gyn), Infertility Specialist"
Dr. Raj Prabharakaran,"MBBS, Diploma in Otorhinolaryngology (DLO)",,,Kilpauk,Chennai,₹700,29,ENT/ Otorhinolaryngologist
Dr. CT. Arunachalam,"MBBS, MS - Orthopaedics",,,Teynampet,Chennai,₹1000,32,Orthopedic surgeon
Dr. Sai Krishna Vittal,MBBS,,,Greams Road,Chennai,₹600,30,General Physician
Dr. Porselvi Rajin,"MBBS, DNB - General Medicine, DM - Gastroenterology",,,Kilpauk,Chennai,₹1000,21,Gastroenterologist
Dr. Prasad Manne,"MBBS, Diploma in Child Health (DCH), Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh)",,,Thousand Lights,Chennai,₹1000,17,Pediatrician
Dr. Rithvik Ramesh,"DM - Neurology, MBBS",,,Nanganallur,Chennai,₹650,n8,"Neurologist, Geriatric Neurologist, General Physician"
Dr. Vijay M Balaji,"MBBS, MD - General Medicine, DNB - Cardiology",,,Manapakkam,Chennai,₹800,22,Cardiologist
Dr. Sheethal Suresh,"MBBS, MD - General Medicine",82%,(11 patients),MRC Nagar,Chennai,₹800,30,"Internal Medicine, General Physician"
Dr. Harsha J,BHMS,,,Anna Nagar,Chennai,₹400,16,AYUSHHomoeopath
Dr. M. Shiva Reddy,"DNB - Orthopedics/Orthopedic Surgery, MD - Physician",100%,(11 patients),Medavakkam,Chennai,₹500,16,Orthopedic surgeon
Dr. Rathna Pandi   (Physiotherapist),BPTh/BPT,100%,(14 patients),Thiruvottiyur,Chennai,₹300,t4,TherapistPhysiotherapist
Dr. Musthafa Janeel,"MBBS, MS - General Surgery, MCh - Cardio Thoracic and Vascular Surgery",,,Thousand Lights,Chennai,₹1000,20,"Cardiologist, Cardiothoracic Surgeon"
Dr. Saravanan T Thangarajan,"MDS - Prosthodontist And Crown Bridge, BDS",,,Kolathur,Chennai,₹300,13,"Cosmetic/Aesthetic Dentist, Prosthodontist, Implantologist"
Dr. Anand,"BDS, MDS",,,Velachery,Chennai,₹100,16,Dentist
Dr. M Ragavan,"MBBS, MS - General Surgery, MCh - Pediatric  Surgery",,,Manapakkam,Chennai,₹800,23,Pediatric Surgeon
Dr. Thuslin Nihar,BDS,,,Adyar,Chennai,₹500,14,"Dentist, Dental Surgeon"
Dr. Padmanabhan R,MBBS,,,Greams Road,Chennai,₹1000,21,General Physician
Dr. Kamaraj V,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",,,Vanagaram,Chennai,₹800,27,Urologist
Dr. Imran   (Physiotherapist),"BPTh/BPT, Diploma in Acupuncture",,,Mogappair East,Chennai,₹400,t2,TherapistPhysiotherapist
Dr. Ragavee V,"BDS, MDS - Paedodontics And Preventive Dentistry",100%,(14 patients),Palavakkam,Chennai,₹250,n4,"Dentist, Pediatric Dentist, Dental Surgeon"
Dr. Sivakami,"MBBS, MS - ENT",98%,(58 patients),Ambattur,Chennai,₹300,14,ENT/ Otorhinolaryngologist
Dr. Rohit.M,"BDS, MDS - Prosthodontist And Crown Bridge",,,Besant Nagar,Chennai,₹200,t6,"Dentist, Prosthodontist"
Dr. Vijayalakshmi Balakrishnan,"MBBS, MD - General Medicine, DNB - General Medicine, MRCP (UK),  FRCP, Diploma in Tropical Medicine and Health",93%,(15 patients),Kilpauk,Chennai,₹1000,22,"General Physician, Infectious and Tropical Medicine Physician"
Ms. Saradha,BASLP,93%,(70 patients),Mogappair East,Chennai,₹700,10,"TherapistSpeech Therapist, Audiologist"
Dr. Ram Chidambaram,"MBBS, Diploma in Orthopaedics, MS - Orthopaedics, DNB - Orthopedics/Orthopedic Surgery",100%,(31 patients),Anna Nagar,Chennai,₹1500,31,Joint Replacement Surgeon
Dr. Chandra Sekar Chandilya,"MBBS, MD - General Medicine",,,Greams Road,Chennai,₹1000,46,General Physician
Dr. Vishali.S,"MDS - Prosthodontist And Crown Bridge, BDS",100%,(77 patients),Sholinganallur,Chennai,₹300,13,"Prosthodontist, Cosmetic/Aesthetic Dentist, Implantologist"
Dr. Gayathri K,"BDS, MDS - Conservative Dentistry & Endodontics",100%,(479 patients),Medavakkam,Chennai,₹200,10,"Endodontist, Dental Surgeon, Restorative Dentist"
Dr. Ramanan S G,MBBS,,,Teynampet,Chennai,₹1500,35,General Physician
Dr. Asha Mahilmaran,"MBBS, MD - General Medicine, DM - Cardiology",,,Greams Road,Chennai,₹800,33,"Cardiologist, Interventional Cardiologist"
Dr. A M Jayaraman,"MBBS, MD - Dermatology, Diploma in Dermatology",82%,(11 patients),Teynampet,Chennai,₹1000,47,Dermatologist
Dr. S Balamurugan,"MBBS, DNB - Respiratory Diseases",100%,(45 patients),Valasaravakkam,Chennai,₹650,26,"Pulmonologist, General Physician"
Dr. S. H. Jaheer Hussain,"MBBS, MS - Orthopaedics",98%,(43 patients),Kilpauk,Chennai,₹500,25,"Orthopedic surgeon, Joint Replacement Surgeon, Spine And Pain Specialist, Spine Surgeon (Ortho)"
Ms. Jayavani.J,"MSc. - Dietetics & Food Service Management, BSc. - Nutrition Food Service Management and Dietetics",,,Anna Nagar,Chennai,₹700,26,TherapistDietitian/Nutritionist
Dr. Shanta Bhaskaran,MBBS,,,Thousand Lights,Chennai,₹1000,42,General Physician
Dr. Chendilnathan,"MBBS, MCh - Neuro Surgery",89%,(18 patients),Teynampet,Chennai,₹1000,37,Neurosurgeon
Dr. Raja Amarnath,MBBS,,,Vanagaram,Chennai,₹800,15,General Physician
Dr. Madhan Thiruvengada,"MBBS, Diploma in Orthopaedics",,,OMR Road,Chennai,₹700,26,Orthopedic surgeon
Dr. Erika Patel,"MBBS, MS - Obstetrics & Gynaecology, MCh - Reproductive Medicine and Surgery",,,Nungambakkam,Chennai,,10,Infertility Specialist
Dr. Deepesh Venkatraman,"MBBS, DM - Cardiology, MD - General Medicine",100%,(20 patients),Anna Nagar,Chennai,₹800,17,"Cardiologist, Interventional Cardiologist, General Physician"
Dr. P Gopinath Menon,MS - Orthopaedics,,,Thousand Lights,Chennai,₹1000,19,Orthopedic surgeon
Dr. S. Sudhakar,"MDS - Oral Medicine and Radiology, BDS",100%,(173 patients),Perumbakkam,Chennai,₹200,22,"Cosmetic/Aesthetic Dentist, Dentist"
Dr. Dhanraj,"BDS, MDS - Paedodontics And Preventive Dentistry",99%,(157 patients),Madipakkam,Chennai,₹500,15,"Dentist, Pediatric Dentist"
Dr. Mohan A T,"MBBS, MD - General Medicine, DM - Gastroenterology",76%,(21 patients),Greams Road,Chennai,₹1000,38,Gastroenterologist
Dr. Jayapriya Ramas,"MBBS, DNB - General Surgery",,,Vadapalani,Chennai,₹800,18,Laparoscopic Surgeon
Dr. Ignatius Jacob,"MBBS, MD - Physical Medicine & Rehabilitation",100%,(24 patients),Kilpauk,Chennai,₹400,13,Rehab & Physical Medicine Specialist
Dr. S. Sharada,"MBBS, MD - Obstetrics & Gynaecology",99%,(156 patients),Perungudi,Chennai,₹500,22,"Gynecologist, Laparoscopic Surgeon (Obs & Gyn), Obstetrician"
Dr. G. Sakthivelan   (Physiotherapist),BPTh/BPT,98%,(84 patients),Choolaimedu,Chennai,₹500,20,TherapistPhysiotherapist
Dr. Soundaram,BDS,100%,(107 patients),Vadapalani,Chennai,₹200,16,Dentist
Dr. P.Geetha,"MS - Ophthalmology, MBBS",,,Vanagaram,Chennai,₹800,29,Ophthalmologist/ Eye Surgeon
Dr. Subhashini Venkatesh,MBBS,98%,(270 patients),Greams Road,Chennai,₹1000,26,General Physician
Ms. Manuja,MSc - Counselling Psychology,,,Red Hills,Chennai,₹1000,13,TherapistCounselling Psychologist
Dr. Shobhana Rajendran,"MBBS, DNB - Pediatrics, DNB - Neonatology",,,Saidapet,Chennai,₹800,20,"Pediatrician, Neonatologist"
Dr. Pratheeba,"MBBS, Diploma in Child Health (DCH), DNB - Paediatrics",,,MKB Nagar,Chennai,₹400,n9,Pediatrician
Dr. Sangeetha Visheswar,"MBBS, DGO",95%,(21 patients),Velachery,Chennai,₹700,24,"Obstetrician, Gynecologist, Infertility Specialist"
Dr. Rajapriya Ayyappan,"MBBS, MD - Obstetrics & Gynaecology, MRCOG(UK), FRCOG (UK), DNB - Obstetrics & Gynecology",90%,(20 patients),Perambur,Chennai,₹600,29,"Gynecologist, Obstetrician, Infertility Specialist, Reproductive Endocrinologist (Infertility)"
Dr. Rajkiran,"MBBS, MS - General Surgery, MCh - Surgical Oncology",,,MKB Nagar,Chennai,₹500,12,"Surgical Oncologist, General Surgeon, Laparoscopic Surgeon"
Dr. Kamesh Radhakrishnan,BDS,82%,(55 patients),Kanchipuram,Chennai,₹500,20,Dentist
Dr. Vijay Bose,"MBBS, MS - Orthopaedics, FRCS - Trauma & Orthopedic Surgery",97%,(32 patients),Vadapalani,Chennai,₹800,35,Joint Replacement Surgeon
Dr. Raja Rajeswari,"BHMS, MD - Homeopathy",,,Chromepet,Chennai,₹450,15,AYUSHHomoeopath
Dr. Sivakami Gopinath,"MBBS, DGO",82%,(17 patients),Vadapalani,Chennai,₹500,41,"Obstetrician, Gynecologist"
Dr. Ashwathy Susan Mathew,"MBBS, MD - Radiotherapy",,,Tharamani,Chennai,₹2000,12,Radiation Oncologist
Dr. Subhashini Mohan,"MD - Dermatology , Venereology & Leprosy, MBBS",96%,(47 patients),Alwarpet,Chennai,₹700,17,"Dermatologist, Pediatric Dermatologist, Aesthetic Dermatologist, Dermatosurgeon"
Dr. Vigneswaran,BDS,,,Tambaram,Chennai,₹500,15,"Implantologist, Dental Surgeon, Dentist"
Dr. Sharadha SO,"MBBS, DNB - Obstetrics & Gynecology, DGO",100%,(214 patients),KK Nagar,Chennai,₹500,14,"Obstetrician, Gynecologist, Infertility Specialist"
Dr. Vivek Arun Kumar J K,"M.D. (Psychiatry), MBBS",,,Tambaram West,Chennai,₹1700,12,Psychiatrist
Dr. Aparajit Ravikumar,MBBS,,,Porur,Chennai,₹750,n5,General Physician
Dr. A.R.Kesavan,"MBBS, MS - Orthopaedics",,,Perumbakkam,Chennai,₹1000,29,Orthopedic surgeon
Dr. Dolly Lakhani,MBBS,,,Thousand Lights,Chennai,₹800,27,General Physician
Dr. Dechamma,"DNB - Obstetrics & Gynecology, MBBS",,,Kilpauk,Chennai,₹1000,17,"Gynecologist, Obstetrician"
Dr. A. Sudha,"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - Otorhinolaryngology",99%,(101 patients),Kilpauk,Chennai,₹500,23,ENT/ Otorhinolaryngologist
Dr. Aruna Sureshkumar,"MBBS, Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh)",100%,(17 patients),Madipakkam,Chennai,₹400,21,Pediatrician
Dr. Aftab Mateen,"MBBS, DDVL",93%,(14 patients),Anna Nagar,Chennai,₹800,32,Dermatologist
Dr. Ramya CV,"MBBS, Diploma in Otorhinolaryngology (DLO)",100%,(18 patients),Madipakkam,Chennai,₹350,12,ENT/ Otorhinolaryngologist
Dr. T. Sivasankari,"BDS, MDS - Periodontics",88%,(32 patients),Mogappair,Chennai,₹300,20,"Periodontist, Dental Surgeon, Dentist"
Dr. Manjula Bagdi,"MBBS, DGO",,,Thousand Lights,Chennai,₹1000,45,"Obstetrician, Gynecologist"
Mr. Saravanan,MSc - Psychology,,,Valasaravakkam,Chennai,₹2000,15,TherapistCounselling Psychologist
Dr. Prabudoss,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",96%,(435 patients),Velachery,Chennai,₹700,22,"Bariatric Surgeon, Gastroenterologist, Laparoscopic Surgeon, General Surgeon"
Dr. Chanaram,"BDS, MDS - Paedodontics And Preventive Dentistry",99%,(812 patients),Avadi,Chennai,₹350,14,"Pediatric Dentist, Dental Surgeon"
Dr. Deenadayalan M,"MBBS, Diploma in Child Health (DCH), DNB - Paediatrics",,,Chromepet,Chennai,₹600,28,Pediatrician
Dr. P. Rajkumar,"MBBS, MS - General Surgery, MCh - Surgical Oncology",,,Teynampet,Chennai,₹500,25,Surgical Oncologist
Dr. Suresh Paramasivam,"MCh - Neuro Surgery, MS - Orthopaedics, MBBS",93%,(15 patients),Mylapore,Chennai,₹500,14,"Neurosurgeon, Neurologist, Orthopedic surgeon"
Dr. C.Srinivasacholan,"MBBS, MS - Orthopaedics",,,Pallavaram,Chennai,₹350,n9,Orthopedic surgeon
Dr. P M Praveen Kumar,"MCh - Plastic & Reconstructive Surgery, MBBS, MS - General Surgery",,,Tondiarpet,Chennai,₹350,24,"Plastic Surgeon, Plastic Reconstruction Surgeon"
Dr. Ramkumar G,"MBBS, MD - General Medicine, DM - Gastroenterology",,,Tondiarpet,Chennai,₹400,27,Gastroenterologist
Dr. Krupa,"BDS, MDS - Periodontics",100%,(38 patients),Madipakkam,Chennai,₹300,15,"Dentist, Periodontist, Implantologist"
Dr. Sushmetha Prasanna,BDS,,,T Nagar,Chennai,₹200,t6,Dentist
Dr. N Manoj Muthu,"MBBS, Diploma in Orthopaedics",,,MRC Nagar,Chennai,₹800,12,Orthopedic surgeon
Dr. Deepika Kothandaraman   (Physiotherapist),"BPTh/BPT, MPT/MPTh - Obstetrics and Gynaecology Physiotherapy",,,Adyar,Chennai,₹1200,t6,TherapistPhysiotherapist
Dr. R Arthi,BHMS,,,KK Nagar,Chennai,₹200,16,AYUSHHomoeopath
Dr. Vidhya Selvam,"MBBS, MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",,,Chromepet,Chennai,₹300,13,"Gynecologist, Obstetrician, Infertility Specialist, Laparoscopic Surgeon (Obs & Gyn), General Practitioner"
Dr. Sara,"BDS, MDS - Periodontics",,,Palavakkam,Chennai,₹300,11,Periodontist
Dr. Kumaran,"MCh - Endocrine Surgery, MS - General Surgery, MBBS",,,Valasaravakkam,Chennai,₹400,26,"Endocrine Surgeon, Laparoscopic Surgeon"
Dr. Meera Mahalingam,BDS,,,Madipakkam,Chennai,₹200,n9,Dental Surgeon
Dr. Hemamala Venugopal Saithanyamurthi,"MBBS, MD - General Medicine, DM - Gastroenterology",,,Manapakkam,Chennai,₹800,28,Gastroenterologist
Dr. GR Sathya Narayanan,"MDS - Oral & Maxillofacial Surgery, BDS",,,Guduvanchery,Chennai,₹200,27,"Implantologist, Dentist, Oral And MaxilloFacial Surgeon, Cosmetic/Aesthetic Dentist"
Dr. Anbazhahan Rajaram,"MBBS, MRCP (UK), Diploma in Diabetes/Endocrinology (Middlesex University)",96%,(94 patients),Anna Nagar,Chennai,₹800,32,Special Interest in Diabetology
Dr. S.M. Rajendran,MBBS,,,Nanganallur,Chennai,₹400,53,"General Physician, Special Interest in Diabetology"
Dr. Jawahar George,MD - Physician,,,Sholinganallur,Chennai,₹300,n9,General Physician
Dr. Swati Kapadia,"MBBS, DGO",93%,(15 patients),Sholinganallur,Chennai,₹800,33,"Gynecologist, Obstetrician, Laparoscopic Surgeon (Obs & Gyn), Infertility Specialist, General Physician"
Dr. Ram   (Physiotherapist),BPTh/BPT,98%,(100 patients),Mogappair East,Chennai,₹500,21,"TherapistGeriatric Physiotherapist, Physiotherapist"
Dr. G Sujatha,"DNB - Obstetrics & Gynecology, MBBS",94%,(17 patients),Vadapalani,Chennai,₹800,25,"Gynecologist, Infertility Specialist, Obstetrician"
Dr. Prathap sekhar,BDS,100%,(60 patients),Anna Nagar,Chennai,₹200,14,Dentist
Dr. Pooja Prethi,BHMS,,,Tambaram East,Chennai,₹350,h6,AYUSHHomoeopath
Dr. Kondammal R,"MBBS, MD - Obstetrics & Gynaecology",,,Thousand Lights,Chennai,₹1000,40,Gynecologist
Dr. Manikandan. S,"BDS, MDS - Oral & Maxillofacial Surgery",,,Alwarpet,Chennai,₹300,n7,Oral And MaxilloFacial Surgeon
Dr. Krishna Mohan,"MBBS, Diploma in Orthopaedics, MS - General Surgery, MCh - Pediatric  Surgery",,,Vanagaram,Chennai,₹800,20,Pediatric Surgeon
Dr. Vandana James,"MDS - Conservative Dentistry & Endodontics, BDS",94%,(16 patients),Rajakilpakkam,Chennai,₹500,15,"Endodontist, Restorative Dentist, Cosmetic/Aesthetic Dentist"
Dr. Saravanan Lakshmanan,"MBBS, Diploma in Anesthesiology, Post Graduate Diploma in Clinical Embryology (PGDCE)",89%,(307 patients),Kotturpuram,Chennai,₹500,24,"Clinical Embryologist, General Physician, General Practitioner, Sexologist, Pain Management Specialist, Spine And Pain Specialist"
Mr. Aaditya,Bachelor of Occupational Therapy (BOT),,,Ashok Nagar,Chennai,₹2000,T1,"TherapistOccupational Therapist, Pediatric OT"
Dr. Sowmiya Natrajan,BHMS,,,Selaiyur,Chennai,₹200,16,AYUSHHomoeopath
Dr. Lakshmi Narasimhan,MBBS,,,Kilpauk,Chennai,₹800,36,General Physician
Dr. Jayagar Prabakaran,"MBBS, MS - ENT",97%,(33 patients),Valasaravakkam,Chennai,₹600,15,"ENT/ Otorhinolaryngologist, General Physician"
Dr. Saravana Bharathy SP,"MBBS, MD - General Medicine",,,Chetpet,Chennai,₹500,e7,Internal Medicine
Dr. Vani Vijay,"MBBS, MS - General Surgery",96%,(1205 patients),Alwarpet,Chennai,₹800,20,"General Surgeon, Laparoscopic Surgeon, Proctologist"
Dr. L.Vijay Amirtharaj,"MDS - Conservative Dentistry & Endodontics, BDS",,,Velachery,Chennai,₹500,21,"Endodontist, Dentist, Dental Surgeon"
Dr. Sundar Ganesh G,MBBS,,,Kilpauk,Chennai,₹500,24,General Physician
Dr. K.Subramanyan,"MBBS, MD - Medicine, DM - Cardiology",,,Vadapalani,Chennai,₹1000,37,Cardiologist
Ms. Sangareswari,MSc - Psychotherapy And Counselling,100%,(19 patients),Tambaram West,Chennai,₹1200,t5,TherapistCounselling Psychologist
Dr. Thalapathy Ramkumar,"MBBS, MS - ENT, DNB - ENT",100%,(11 patients),T Nagar,Chennai,₹600,26,ENT/ Otorhinolaryngologist
Dr. Sanketh Reddy,"BDS, MDS - Prosthodontics",,,Greams Road,Chennai,₹500,18,"Dentist, Dental Surgeon"
Dr. R. Charumathi,"MBBS, MD - Obstetrics & Gynaecology, DGO",,,Thousand Lights,Chennai,₹1000,36,"Gynecologist, Obstetrician"
Dr. Dinesh Mohan Choudary,"MBBS, MS - Orthopaedics",,,Kolathur,Chennai,₹500,15,"Orthopedic surgeon, Spine Surgeon (Ortho), Joint Replacement Surgeon"
Dr. R. G. Praveen,"MBBS, MS - Orthopaedics, DNB - Orthopedics/Orthopedic Surgery",,,Arumbakkam,Chennai,₹500,10,"Orthopedic surgeon, Joint Replacement Surgeon"
Dr. Latha Kanchi Parthasarathy,"MBBS, Diploma in Child Health (DCH), Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh)",,,Thousand Lights,Chennai,₹700,26,Pediatrician
Dr. Robert Mao,"MBBS, MD - General Medicine, DM - Cardiology",95%,(19 patients),Greams Road,Chennai,₹1500,41,Cardiologist
Dr. Brinda N Kalro,"MBBS, Fellow of Royal College of Obstetricians and Gynaecologists FRCOG (London)",,,Anna Nagar,Chennai,₹1000,35,Gynecologist
Dr. P. Surya,"MBBS, DGO",,,OMR Road,Chennai,₹600,15,"Gynecologist, Obstetrician, Infertility Specialist"
Dr. B.Ssneha Vignesh,BDS,,,Gowrivakkam,Chennai,₹150,n7,"Dentist, Cosmetic/Aesthetic Dentist, Dental Surgeon"
Dr. Deepasree,"MBBS, MRCP (UK), Fellow of the Royal College of Radiologists, UK (FRCR)",,,Chromepet,Chennai,₹600,22,Radiologist
Dr. Swatee Halbe,"MBBS, MD - Radio Diagnosis/Radiology",,,Vanagaram,Chennai,₹800,33,Radiologist
Dr. R.A.Jeyabaul,"MBBS, MS - General Surgery",,,Vanagaram,Chennai,₹800,36,General Surgeon
Dr. Rahman,BUMS,90%,(94 patients),Triplicane,Chennai,₹300,22,AYUSHUnani
Dr. Srikala Dodda Reddy,"MBBS, DNB - Obstetrics & Gynecology",,,Thousand Lights,Chennai,₹1000,17,"Obstetrician, Gynecologist"
Dr. Ajitha Sureshkumar,"BDS, MDS - Prosthodontist And Crown Bridge",100%,(33 patients),Navalur,Chennai,₹300,17,Dentist
Dr. Manikandan Mohandoss,MBBS,,,Pallavaram,Chennai,₹300,r5,"General Physician, General Practitioner"
Dr. Vaithiswaran Velayoudam,MBBS,,,Tharamani,Chennai,₹2000,24,General Physician
Dr. Raveendran S R,"MBBS, MD - Microbiology",97%,(33 patients),Kodungaiyur,Chennai,₹250,14,Special Interest in Diabetology
Dr. V S V Kumar,"MBBS, DNB - Orthopedics/Orthopedic Surgery",,,Vadapalani,Chennai,₹800,17,Orthopedic surgeon
Dr. Krishna Moorthy S,MBBS,,,Vanagaram,Chennai,₹800,32,General Physician
Dr. G. Vezhaventhan,"MBBS, MS - General Surgery, MCh - Urology",98%,(312 patients),Saidapet,Chennai,₹500,27,"Urologist, General Surgeon, Andrologist"
Dr. Ramadass T,"MBBS, Diploma in Otorhinolaryngology (DLO)",,,Alwarpet,Chennai,₹1000,70,ENT/ Otorhinolaryngologist
Dr. Chelliah Venkatraman,"BDS, MDS - Orthodontics",92%,(65 patients),Adyar,Chennai,₹1500,50,"Dentist, Orthodontist, Dentofacial Orthopedist"
Dr. Srichandran L,"MBBS, MD - General Medicine, DM - Cardiology",,,Anna Nagar,Chennai,₹1200,20,Cardiologist
Dr. Tamil Selvam,"MBBS, MD - General Medicine, DM - Rheumatology",,,Vanagaram,Chennai,₹800,16,Rheumatologist
Dr. S Asha Devi,"MBBS, MS - Obstetrics & Gynaecology, MRCOG(UK)",100%,(113 patients),OMR Road,Chennai,₹500,15,"Obstetrician, Gynecologist"
Dr. Lazarus Rajiv B Padankatti,"MBBS, DNB - General Surgery",,,Thousand Lights,Chennai,₹600,26,General Surgeon
Dr. Sai Sucheethra,MBBS,,,Thousand Lights,Chennai,₹700,11,General Physician
Dr. Mohammed Waseem,"MS - General Surgery, MBBS",,,Choolai,Chennai,₹200,14,"Laparoscopic Surgeon, General Surgeon, Diabetic Foot Surgeon, Proctologist"
Mr. Ganesan S V,"MSc - Psychotherapy And Counselling, Foundation Basic Course in Hypnotherapy, Post Graduate Diploma in Psychological Counseling",98%,(60 patients),Palavakkam,Chennai,₹1500,11,"TherapistCounselling Psychologist, Psychotherapist, Hypnotherapist"
Dr. Narasimhan Bharadwaj,"BDS, MDS - Conservative Dentistry",,,Kilpauk,Chennai,₹200,24,"Dentist, Endodontist, Dental Surgeon"
Dr. Sakthi Devi,BSMS,,,Nanganallur,Chennai,₹300,17,AYUSHSiddha
Dr. Susila Sharmili Kumaravel,"MBBS, M.D. (Psychiatry)",,,Perumbakkam,Chennai,₹750,t7,Psychiatrist
Dr. Sujeer N N,"MD - General Medicine, MBBS",,,Anna Nagar,Chennai,₹800,42,"Internal Medicine, General Physician"
Dr. Ilangho,"MBBS, MD - General Medicine, Diploma in Tuberculosis and Chest Diseases (DTCD)",,,Greams Road,Chennai,₹1500,37,Pulmonologist
Dr. Subramanian J R,"MBBS, MD - General Medicine",,,Greams Road,Chennai,₹500,38,Internal Medicine
Dr. Rajeshwari Uthra R,BDS,,,Navalur,Chennai,₹200,11,Dental Surgeon
